state,loans
California,14717
Texas,6842
New York,6729
Florida,6720
Illinois,5921
Georgia,5008
Ohio,4197
Michigan,3593
Washington,3430
Virginia,3278
New Jersey,3097
North Carolina,3084
Pennsylvania,2972
Maryland,2821
Missouri,2615
Minnesota,2318
Massachusetts,2242
Colorado,2210
Indiana,2078
Arizona,1901
Wisconsin,1842
Oregon,1817
Tennessee,1737
Alabama,1679
Connecticut,1627
South Carolina,1122
Nevada,1090
Kansas,1062
Kentucky,983
Oklahoma,971
Louisiana,954
Utah,877
Arkansas,855
Mississippi,787
Nebraska,674
Idaho,599
New Hampshire,551
New Mexico,472
Rhode Island,435
Hawaii,409
West Virginia,391
Montana,330
Delaware,300
Vermont,207
Alaska,200
South Dakota,189
Iowa,186
Wyoming,150
Maine,101
North Dakota,52
